name,value,pretty_value,boot_val,unit,context,vartype,min_val,max_val,enumvals
allow_alter_system,on,"",on,"",sighup,bool,,,""
allow_in_place_tablespaces,off,"",off,"",superuser,bool,,,""
allow_system_table_mods,off,"",off,"",superuser,bool,,,""
application_name,psql,"","","",user,string,,,""
archive_cleanup_command,"","","","",sighup,string,,,""
archive_command,(disabled),"","","",sighup,string,,,""
archive_library,"","","","",sighup,string,,,""
archive_mode,off,"",off,"",postmaster,enum,,,"{always,on,off}"
archive_timeout,0,"",0,s,sighup,integer,0,1073741823,""
array_nulls,on,"",on,"",user,bool,,,""
authentication_timeout,60,"",60,s,sighup,integer,1,600,""
auto_explain.log_analyze,off,"",off,"",superuser,bool,,,""
auto_explain.log_buffers,off,"",off,"",superuser,bool,,,""
auto_explain.log_format,text,"",text,"",superuser,enum,,,"{text,xml,json,yaml}"
auto_explain.log_level,log,"",log,"",superuser,enum,,,"{debug5,debug4,debug3,debug2,debug1,info,notice,warning,log}"
auto_explain.log_min_duration,-1,"",-1,ms,superuser,integer,-1,2147483647,""
auto_explain.log_nested_statements,off,"",off,"",superuser,bool,,,""
auto_explain.log_parameter_max_length,-1,"",-1,B,superuser,integer,-1,2147483647,""
auto_explain.log_settings,off,"",off,"",superuser,bool,,,""
auto_explain.log_timing,on,"",on,"",superuser,bool,,,""
auto_explain.log_triggers,off,"",off,"",superuser,bool,,,""
auto_explain.log_verbose,off,"",off,"",superuser,bool,,,""
auto_explain.log_wal,off,"",off,"",superuser,bool,,,""
auto_explain.sample_rate,1,"",1,"",superuser,real,0,1,""
autovacuum,on,"",on,"",sighup,bool,,,""
autovacuum_analyze_scale_factor,0.1,"",0.1,"",sighup,real,0,100,""
autovacuum_analyze_threshold,50,"",50,"",sighup,integer,0,2147483647,""
autovacuum_freeze_max_age,200000000,"",200000000,"",postmaster,integer,100000,2000000000,""
autovacuum_max_workers,3,"",3,"",sighup,integer,1,262143,""
autovacuum_multixact_freeze_max_age,400000000,"",400000000,"",postmaster,integer,10000,2000000000,""
autovacuum_naptime,60,"",60,s,sighup,integer,1,2147483,""
autovacuum_vacuum_cost_delay,2,"",2,ms,sighup,real,-1,100,""
autovacuum_vacuum_cost_limit,-1,"",-1,"",sighup,integer,-1,10000,""
autovacuum_vacuum_insert_scale_factor,0.2,"",0.2,"",sighup,real,0,100,""
autovacuum_vacuum_insert_threshold,1000,"",1000,"",sighup,integer,-1,2147483647,""
autovacuum_vacuum_max_threshold,100000000,"",100000000,"",sighup,integer,-1,2147483647,""
autovacuum_vacuum_scale_factor,0.2,"",0.2,"",sighup,real,0,100,""
autovacuum_vacuum_threshold,50,"",50,"",sighup,integer,0,2147483647,""
autovacuum_worker_slots,16,"",16,"",postmaster,integer,1,262143,""
autovacuum_work_mem,-1,"",-1,kB,sighup,integer,-1,2147483647,""
backend_flush_after,0,"",0,8kB,user,integer,0,256,""
backslash_quote,safe_encoding,"",safe_encoding,"",user,enum,,,"{safe_encoding,on,off}"
backtrace_functions,"","","","",superuser,string,,,""
bgwriter_delay,200,"",200,ms,sighup,integer,10,10000,""
bgwriter_flush_after,64,"",64,8kB,sighup,integer,0,256,""
bgwriter_lru_maxpages,100,"",100,"",sighup,integer,0,1073741823,""
bgwriter_lru_multiplier,2,"",2,"",sighup,real,0,10,""
block_size,8192,"",8192,"",internal,integer,8192,8192,""
bonjour,off,"",off,"",postmaster,bool,,,""
bonjour_name,"","","","",postmaster,string,,,""
bytea_output,hex,"",hex,"",user,enum,,,"{escape,hex}"
check_function_bodies,on,"",on,"",user,bool,,,""
checkpoint_completion_target,0.9,"",0.9,"",sighup,real,0,1,""
checkpoint_flush_after,32,"",32,8kB,sighup,integer,0,256,""
checkpoint_timeout,300,"",300,s,sighup,integer,30,86400,""
checkpoint_warning,30,"",30,s,sighup,integer,0,2147483647,""
client_connection_check_interval,0,"",0,ms,user,integer,0,2147483647,""
client_encoding,UTF8,"",SQL_ASCII,"",user,string,,,""
client_min_messages,notice,"",notice,"",user,enum,,,"{debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}"
cluster_name,"","","","",postmaster,string,,,""
commit_delay,0,"",0,"",superuser,integer,0,100000,""
commit_siblings,5,"",5,"",user,integer,0,1000,""
commit_timestamp_buffers,32,"",0,8kB,postmaster,integer,0,131072,""
compute_query_id,auto,"",auto,"",superuser,enum,,,"{auto,regress,on,off}"
config_file,/tmp/pgdata/postgresql.conf,"",,"",postmaster,string,,,""
constraint_exclusion,partition,"",partition,"",user,enum,,,"{partition,on,off}"
cpu_index_tuple_cost,0.005,"",0.005,"",user,real,0,1.79769e+308,""
cpu_operator_cost,0.0025,"",0.0025,"",user,real,0,1.79769e+308,""
cpu_tuple_cost,0.01,"",0.01,"",user,real,0,1.79769e+308,""
createrole_self_grant,"","","","",user,string,,,""
cursor_tuple_fraction,0.1,"",0.1,"",user,real,0,1,""
data_checksums,on,"",off,"",internal,bool,,,""
data_directory,/tmp/pgdata,"",,"",postmaster,string,,,""
data_directory_mode,0700,"",448,"",internal,integer,0,511,""
data_sync_retry,off,"",off,"",postmaster,bool,,,""
DateStyle,"ISO, MDY","","ISO, MDY","",user,string,,,""
deadlock_timeout,1000,"",1000,ms,superuser,integer,1,2147483647,""
debug_assertions,off,"",off,"",internal,bool,,,""
debug_discard_caches,0,"",0,"",superuser,integer,0,0,""
debug_io_direct,"","","","",postmaster,string,,,""
debug_logical_replication_streaming,buffered,"",buffered,"",user,enum,,,"{buffered,immediate}"
debug_parallel_query,off,"",off,"",user,enum,,,"{off,on,regress}"
debug_pretty_print,on,"",on,"",user,bool,,,""
debug_print_parse,off,"",off,"",user,bool,,,""
debug_print_plan,off,"",off,"",user,bool,,,""
debug_print_rewritten,off,"",off,"",user,bool,,,""
default_statistics_target,100,"",100,"",user,integer,1,10000,""
default_table_access_method,heap,"",heap,"",user,string,,,""
default_tablespace,"","","","",user,string,,,""
default_text_search_config,pg_catalog.english,"",pg_catalog.simple,"",user,string,,,""
default_toast_compression,pglz,"",pglz,"",user,enum,,,"{pglz,lz4}"
default_transaction_deferrable,off,"",off,"",user,bool,,,""
default_transaction_isolation,read committed,"",read committed,"",user,enum,,,"{serializable,""repeatable read"",""read committed"",""read uncommitted""}"
default_transaction_read_only,off,"",off,"",user,bool,,,""
dynamic_library_path,$libdir,"",$libdir,"",superuser,string,,,""
dynamic_shared_memory_type,posix,"",posix,"",postmaster,enum,,,"{posix,sysv,mmap}"
effective_cache_size,524288,"",524288,8kB,user,integer,1,2147483647,""
effective_io_concurrency,16,"",16,"",user,integer,0,1000,""
enable_async_append,on,"",on,"",user,bool,,,""
enable_bitmapscan,on,"",on,"",user,bool,,,""
enable_distinct_reordering,on,"",on,"",user,bool,,,""
enable_gathermerge,on,"",on,"",user,bool,,,""
enable_group_by_reordering,on,"",on,"",user,bool,,,""
enable_hashagg,on,"",on,"",user,bool,,,""
enable_hashjoin,on,"",on,"",user,bool,,,""
enable_incremental_sort,on,"",on,"",user,bool,,,""
enable_indexonlyscan,on,"",on,"",user,bool,,,""
enable_indexscan,on,"",on,"",user,bool,,,""
enable_material,on,"",on,"",user,bool,,,""
enable_memoize,on,"",on,"",user,bool,,,""
enable_mergejoin,on,"",on,"",user,bool,,,""
enable_nestloop,on,"",on,"",user,bool,,,""
enable_parallel_append,on,"",on,"",user,bool,,,""
enable_parallel_hash,on,"",on,"",user,bool,,,""
enable_partition_pruning,on,"",on,"",user,bool,,,""
enable_partitionwise_aggregate,off,"",off,"",user,bool,,,""
enable_partitionwise_join,off,"",off,"",user,bool,,,""
enable_presorted_aggregate,on,"",on,"",user,bool,,,""
enable_self_join_elimination,on,"",on,"",user,bool,,,""
enable_seqscan,on,"",on,"",user,bool,,,""
enable_sort,on,"",on,"",user,bool,,,""
enable_tidscan,on,"",on,"",user,bool,,,""
escape_string_warning,on,"",on,"",user,bool,,,""
event_source,PostgreSQL,"",PostgreSQL,"",postmaster,string,,,""
event_triggers,on,"",on,"",superuser,bool,,,""
exit_on_error,off,"",off,"",user,bool,,,""
extension_control_path,$system,"",$system,"",superuser,string,,,""
external_pid_file,"","",,"",postmaster,string,,,""
extra_float_digits,1,"",1,"",user,integer,-15,3,""
file_copy_method,copy,"",copy,"",user,enum,,,"{copy,clone}"
file_extend_method,posix_fallocate,"",posix_fallocate,"",sighup,enum,,,"{posix_fallocate,write_zeros}"
from_collapse_limit,8,"",8,"",user,integer,1,2147483647,""
fsync,on,"",on,"",sighup,bool,,,""
full_page_writes,on,"",on,"",sighup,bool,,,""
geqo,on,"",on,"",user,bool,,,""
geqo_effort,5,"",5,"",user,integer,1,10,""
geqo_generations,0,"",0,"",user,integer,0,2147483647,""
geqo_pool_size,0,"",0,"",user,integer,0,2147483647,""
geqo_seed,0,"",0,"",user,real,0,1,""
geqo_selection_bias,2,"",2,"",user,real,1.5,2,""
geqo_threshold,12,"",12,"",user,integer,2,2147483647,""
gin_fuzzy_search_limit,0,"",0,"",user,integer,0,2147483647,""
gin_pending_list_limit,4096,"",4096,kB,user,integer,64,2147483647,""
gss_accept_delegation,off,"",off,"",sighup,bool,,,""
hash_mem_multiplier,2,"",2,"",user,real,1,1000,""
hba_file,/tmp/pgdata/pg_hba.conf,"",,"",postmaster,string,,,""
hot_standby,on,"",on,"",postmaster,bool,,,""
hot_standby_feedback,off,"",off,"",sighup,bool,,,""
huge_pages,try,"",try,"",postmaster,enum,,,"{off,on,try}"
huge_page_size,0,"",0,kB,postmaster,integer,0,2147483647,""
huge_pages_status,off,"",unknown,"",internal,enum,,,"{off,on,unknown}"
icu_validation_level,warning,"",warning,"",user,enum,,,"{disabled,debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}"
ident_file,/tmp/pgdata/pg_ident.conf,"",,"",postmaster,string,,,""
idle_in_transaction_session_timeout,0,"",0,ms,user,integer,0,2147483647,""
idle_replication_slot_timeout,0,"",0,s,sighup,integer,0,2147483647,""
idle_session_timeout,0,"",0,ms,user,integer,0,2147483647,""
ignore_checksum_failure,off,"",off,"",superuser,bool,,,""
ignore_invalid_pages,off,"",off,"",postmaster,bool,,,""
ignore_system_indexes,off,"",off,"",backend,bool,,,""
in_hot_standby,off,"",off,"",internal,bool,,,""
integer_datetimes,on,"",on,"",internal,bool,,,""
IntervalStyle,postgres,"",postgres,"",user,enum,,,"{postgres,postgres_verbose,sql_standard,iso_8601}"
io_combine_limit,16,"",16,8kB,user,integer,1,128,""
io_max_combine_limit,16,"",16,8kB,postmaster,integer,1,128,""
io_max_concurrency,64,"",-1,"",postmaster,integer,-1,1024,""
io_method,worker,"",worker,"",postmaster,enum,,,"{sync,worker,io_uring}"
io_workers,3,"",3,"",sighup,integer,1,32,""
jit,on,"",on,"",user,bool,,,""
jit_above_cost,100000,"",100000,"",user,real,-1,1.79769e+308,""
jit_debugging_support,off,"",off,"",superuser-backend,bool,,,""
jit_dump_bitcode,off,"",off,"",superuser,bool,,,""
jit_expressions,on,"",on,"",user,bool,,,""
jit_inline_above_cost,500000,"",500000,"",user,real,-1,1.79769e+308,""
jit_optimize_above_cost,500000,"",500000,"",user,real,-1,1.79769e+308,""
jit_profiling_support,off,"",off,"",superuser-backend,bool,,,""
jit_provider,llvmjit,"",llvmjit,"",postmaster,string,,,""
jit_tuple_deforming,on,"",on,"",user,bool,,,""
join_collapse_limit,8,"",8,"",user,integer,1,2147483647,""
krb_caseins_users,off,"",off,"",sighup,bool,,,""
krb_server_keyfile,FILE:/etc/postgresql-common/krb5.keytab,"",FILE:/etc/postgresql-common/krb5.keytab,"",sighup,string,,,""
lc_messages,en_US.utf8,"","","",superuser,string,,,""
lc_monetary,en_US.utf8,"",C,"",user,string,,,""
lc_numeric,en_US.utf8,"",C,"",user,string,,,""
lc_time,en_US.utf8,"",C,"",user,string,,,""
listen_addresses,"","",localhost,"",postmaster,string,,,""
local_preload_libraries,"","","","",user,string,,,""
lock_timeout,0,"",0,ms,user,integer,0,2147483647,""
lo_compat_privileges,off,"",off,"",superuser,bool,,,""
log_autovacuum_min_duration,600000,"",600000,ms,sighup,integer,-1,2147483647,""
log_checkpoints,on,"",on,"",sighup,bool,,,""
log_connections,"","","","",superuser-backend,string,,,""
log_destination,stderr,"",stderr,"",sighup,string,,,""
log_directory,log,"",log,"",sighup,string,,,""
log_disconnections,off,"",off,"",superuser-backend,bool,,,""
log_duration,off,"",off,"",superuser,bool,,,""
log_error_verbosity,default,"",default,"",superuser,enum,,,"{terse,default,verbose}"
